  --任务相关文字
 Quest = 
  {
qtMain = "主线",
qtSub = "支线",
qtFuben = "副本",
qtDay = "日常",
qtGuild = "帮派",
qtRoutine = "日常任务",
qtRnd = "奇遇",
qtRecommended = "活动",

n1=	"云虚之厄",	d1=	"    ",	t1=	"    ",
n9705="清明祈福",d9705="收集优秀·灵鹿宠物蛋1个。",t9705="",
n9706="斩妖除魔",d9706="奉张天师之命，前往盘龙道斩除盘龙守卫。",t9706="",
n9707="斩妖除魔",d9707="奉张天师之命，前往盘龙道斩除太乙战仙。",t9707="",
n9708="斩妖除魔",d9708="奉张天师之命，前往盘龙道斩除魅影龙女。",t9708="",
n9709="斩妖除魔",d9709="奉张天师之命，前往盘龙道斩除幽影龙巫。",t9709="",
n9710="斩妖除魔",d9710="奉张天师之命，前往盘龙道斩除巨臂神卫。",t9710="",
n9711="斩妖除魔",d9711="奉张天师之命，前往古魔界斩除玄冰苍羽。",t9711="",
n9712="斩妖除魔",d9712="奉张天师之命，前往盘龙道斩除盘龙守卫。",t9712="",
n9713="斩妖除魔",d9713="奉张天师之命，前往盘龙道斩除太乙战仙。",t9713="",
n9714="斩妖除魔",d9714="奉张天师之命，前往盘龙道斩除魅影龙女。",t9714="",
n9715="斩妖除魔",d9715="奉张天师之命，前往盘龙道斩除幽影龙巫。",t9715="",
n9716="斩妖除魔",d9716="奉张天师之命，前往盘龙道斩除巨臂神卫。",t9716="",
n9717="斩妖除魔",d9717="奉张天师之命，前往古魔界斩除玄冰苍羽。",t9717="",
n9718="斩妖除魔",d9718="奉张天师之命，前往盘龙道斩除盘龙守卫。",t9718="",
n9719="斩妖除魔",d9719="奉张天师之命，前往盘龙道斩除太乙战仙。",t9719="",
n9720="斩妖除魔",d9720="奉张天师之命，前往盘龙道斩除魅影龙女。",t9720="",
n9721="斩妖除魔",d9721="奉张天师之命，前往盘龙道斩除幽影龙巫。",t9721="",
n9722="斩妖除魔",d9722="奉张天师之命，前往盘龙道斩除巨臂神卫。",t9722="",
n9723="斩妖除魔",d9723="奉张天师之命，前往古魔界斩除玄冰苍羽。",t9723="",
n9724="斩妖除魔",d9724="奉张天师之命，前往盘龙道斩除盘龙守卫。",t9724="",
n9725="斩妖除魔",d9725="奉张天师之命，前往盘龙道斩除太乙战仙。",t9725="",
n9726="斩妖除魔",d9726="奉张天师之命，前往盘龙道斩除魅影龙女。",t9726="",
n9727="斩妖除魔",d9727="奉张天师之命，前往盘龙道斩除幽影龙巫。",t9727="",
n9728="斩妖除魔",d9728="奉张天师之命，前往盘龙道斩除巨臂神卫。",t9728="",
n9729="斩妖除魔",d9729="奉张天师之命，前往古魔界斩除玄冰苍羽。",t9729="",
n9730="斩妖除魔",d9730="奉张天师之命，前往盘龙道斩除盘龙守卫。",t9730="",
n9731="斩妖除魔",d9731="奉张天师之命，前往盘龙道斩除太乙战仙。",t9731="",
n9732="斩妖除魔",d9732="奉张天师之命，前往盘龙道斩除魅影龙女。",t9732="",
n9733="斩妖除魔",d9733="奉张天师之命，前往盘龙道斩除幽影龙巫。",t9733="",
n9734="斩妖除魔",d9734="奉张天师之命，前往盘龙道斩除巨臂神卫。",t9734="",
n9735="斩妖除魔",d9735="奉张天师之命，前往古魔界斩除玄冰苍羽。",t9735="",
n9736="斩妖除魔",d9736="奉张天师之命，前往古魔界斩除玄冰魔虎。",t9736="",
n9737="斩妖除魔",d9737="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t9737="",
n9738="斩妖除魔",d9738="奉张天师之命，前往古魔界斩除骷髅残魔。",t9738="",
n9739="斩妖除魔",d9739="奉张天师之命，前往古魔界斩除赤日魔族。",t9739="",
n9740="斩妖除魔",d9740="奉张天师之命，前往古魔界斩除幽冥魔将。",t9740="",
n9741="斩妖除魔",d9741="奉张天师之命，前往古魔界斩除玄冰魔虎。",t9741="",
n9742="斩妖除魔",d9742="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t9742="",
n9743="斩妖除魔",d9743="奉张天师之命，前往古魔界斩除骷髅残魔。",t9743="",
n9744="斩妖除魔",d9744="奉张天师之命，前往古魔界斩除赤日魔族。",t9744="",
n9745="斩妖除魔",d9745="奉张天师之命，前往古魔界斩除幽冥魔将。",t9745="",
n9746="斩妖除魔",d9746="奉张天师之命，前往古魔界斩除玄冰魔虎。",t9746="",
n9747="斩妖除魔",d9747="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t9747="",
n9748="斩妖除魔",d9748="奉张天师之命，前往古魔界斩除骷髅残魔。",t9748="",
n9749="斩妖除魔",d9749="奉张天师之命，前往古魔界斩除赤日魔族。",t9749="",
n9750="斩妖除魔",d9750="奉张天师之命，前往古魔界斩除幽冥魔将。",t9750="",
n9751="斩妖除魔",d9751="奉张天师之命，前往古魔界斩除玄冰魔虎。",t9751="",
n9752="斩妖除魔",d9752="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t9752="",
n9753="斩妖除魔",d9753="奉张天师之命，前往古魔界斩除骷髅残魔。",t9753="",
n9754="斩妖除魔",d9754="奉张天师之命，前往古魔界斩除赤日魔族。",t9754="",
n9755="斩妖除魔",d9755="奉张天师之命，前往古魔界斩除幽冥魔将。",t9755="",
n9756="斩妖除魔",d9756="奉张天师之命，前往古魔界斩除玄冰魔虎。",t9756="",
n9757="斩妖除魔",d9757="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t9757="",
n9758="斩妖除魔",d9758="奉张天师之命，前往古魔界斩除骷髅残魔。",t9758="",
n9759="斩妖除魔",d9759="奉张天师之命，前往古魔界斩除赤日魔族。",t9759="",
n9760="斩妖除魔",d9760="奉张天师之命，前往古魔界斩除幽冥魔将。",t9760="",
n9761="护送仙女",d9761="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9761="",
n9762="护送仙女",d9762="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9762="",
n9763="护送仙女",d9763="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9763="",
n9764="护送仙女",d9764="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9764="",
n9765="护送仙女",d9765="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9765="",
n9766="护送仙女",d9766="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9766="",
n9767="护送仙女",d9767="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9767="",
n9768="护送仙女",d9768="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9768="",
n9769="护送仙女",d9769="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9769="",
n9770="护送仙女",d9770="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9770="",
n9771="护送仙女",d9771="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9771="",
n9772="护送仙女",d9772="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9772="",
n9773="护送仙女",d9773="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9773="",
n9774="护送仙女",d9774="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9774="",
n9775="护送仙女",d9775="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t9775="",
n9776="地狱福地",d9776="完成福地守护任务，可获得不错的奖励。",t9776="退出副本后寻找帮派管理员领取奖励",
n9777="暗夜悬赏令",d9777="当暗夜·D·路飞降临在暗夜幽界时，前往参与击杀（提示：暗夜·D·路飞死亡的时候你在旁边存活即可）。",t9777="",
n9778="暗夜除魔",d9778="前往炎帝洞击杀炎族守卫。",t9778="",
n9779="暗夜除魔",d9779="前往炎帝洞击杀震地魔。",t9779="",
n9780="暗夜除魔",d9780="前往雷夏泽击杀雷族战士。",t9780="",
n9781="暗夜除魔",d9781="前往雷夏泽击杀戏水蚌精。",t9781="",
n9782="暗夜除魔",d9782="前往南蛮荒击杀上古怨魂。",t9782="",
n9783="暗夜除魔",d9783="前往不周山击杀噬灵魔煞。",t9783="",
n9784="暗夜除魔",d9784="前往不周山击杀昆仑魔树。",t9784="",
n9785="暗夜除魔",d9785="前往盘龙道击杀太乙战仙。",t9785="",
n9786="暗夜除魔",d9786="前往古魔界击杀骷髅残魔。",t9786="",
n10399="护送仙女",d10399="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10399="",
n10400="护送仙女",d10400="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10400="",
n10401="护送仙女",d10401="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10401="",
n10402="护送仙女",d10402="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10402="",
n10403="护送仙女",d10403="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10403="",
n10404="护送仙女",d10404="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10404="",
n10405="护送仙女",d10405="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10405="",
n10406="护送仙女",d10406="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10406="",
n10407="护送仙女",d10407="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10407="",
n10408="护送仙女",d10408="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10408="",
n10409="护送仙女",d10409="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10409="",
n10410="护送仙女",d10410="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10410="",
n10411="护送仙女",d10411="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10411="",
n10412="护送仙女",d10412="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10412="",
n10413="护送仙女",d10413="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10413="",
n10414="护送仙女",d10414="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10414="",
n10415="护送仙女",d10415="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10415="",
n10416="护送仙女",d10416="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10416="",
n10417="护送仙女",d10417="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10417="",
n10418="护送仙女",d10418="曾经沧海难为水，除却巫山不是云，护送仙女寻找轩辕墟月老。",t10418="",
n10419="斩妖除魔",d10419="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10419="",
n10420="斩妖除魔",d10420="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10420="",
n10421="斩妖除魔",d10421="奉张天师之命，前往古魔界斩除骷髅残魔。",t10421="",
n10422="斩妖除魔",d10422="奉张天师之命，前往古魔界斩除赤日魔族。",t10422="",
n10423="斩妖除魔",d10423="奉张天师之命，前往古魔界斩除幽冥魔将。",t10423="",
n10424="斩妖除魔",d10424="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10424="",
n10425="斩妖除魔",d10425="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10425="",
n10426="斩妖除魔",d10426="奉张天师之命，前往古魔界斩除骷髅残魔。",t10426="",
n10427="斩妖除魔",d10427="奉张天师之命，前往古魔界斩除赤日魔族。",t10427="",
n10428="斩妖除魔",d10428="奉张天师之命，前往古魔界斩除幽冥魔将。",t10428="",
n10429="斩妖除魔",d10429="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10429="",
n10430="斩妖除魔",d10430="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10430="",
n10431="斩妖除魔",d10431="奉张天师之命，前往古魔界斩除骷髅残魔。",t10431="",
n10432="斩妖除魔",d10432="奉张天师之命，前往古魔界斩除赤日魔族。",t10432="",
n10433="斩妖除魔",d10433="奉张天师之命，前往古魔界斩除幽冥魔将。",t10433="",
n10434="斩妖除魔",d10434="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10434="",
n10435="斩妖除魔",d10435="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10435="",
n10436="斩妖除魔",d10436="奉张天师之命，前往古魔界斩除骷髅残魔。",t10436="",
n10437="斩妖除魔",d10437="奉张天师之命，前往古魔界斩除赤日魔族。",t10437="",
n10438="斩妖除魔",d10438="奉张天师之命，前往古魔界斩除幽冥魔将。",t10438="",
n10439="斩妖除魔",d10439="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10439="",
n10440="斩妖除魔",d10440="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10440="",
n10441="斩妖除魔",d10441="奉张天师之命，前往古魔界斩除骷髅残魔。",t10441="",
n10442="斩妖除魔",d10442="奉张天师之命，前往古魔界斩除赤日魔族。",t10442="",
n10443="斩妖除魔",d10443="奉张天师之命，前往古魔界斩除幽冥魔将。",t10443="",
n10444="斩妖除魔",d10444="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10444="",
n10445="斩妖除魔",d10445="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10445="",
n10446="斩妖除魔",d10446="奉张天师之命，前往古魔界斩除骷髅残魔。",t10446="",
n10447="斩妖除魔",d10447="奉张天师之命，前往古魔界斩除赤日魔族。",t10447="",
n10448="斩妖除魔",d10448="奉张天师之命，前往古魔界斩除幽冥魔将。",t10448="",
n10449="斩妖除魔",d10449="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10449="",
n10450="斩妖除魔",d10450="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10450="",
n10451="斩妖除魔",d10451="奉张天师之命，前往古魔界斩除骷髅残魔。",t10451="",
n10452="斩妖除魔",d10452="奉张天师之命，前往古魔界斩除赤日魔族。",t10452="",
n10453="斩妖除魔",d10453="奉张天师之命，前往古魔界斩除幽冥魔将。",t10453="",
n10454="斩妖除魔",d10454="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10454="",
n10455="斩妖除魔",d10455="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10455="",
n10456="斩妖除魔",d10456="奉张天师之命，前往古魔界斩除骷髅残魔。",t10456="",
n10457="斩妖除魔",d10457="奉张天师之命，前往古魔界斩除赤日魔族。",t10457="",
n10458="斩妖除魔",d10458="奉张天师之命，前往古魔界斩除幽冥魔将。",t10458="",
n10459="斩妖除魔",d10459="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10459="",
n10460="斩妖除魔",d10460="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10460="",
n10461="斩妖除魔",d10461="奉张天师之命，前往古魔界斩除骷髅残魔。",t10461="",
n10462="斩妖除魔",d10462="奉张天师之命，前往古魔界斩除赤日魔族。",t10462="",
n10463="斩妖除魔",d10463="奉张天师之命，前往古魔界斩除幽冥魔将。",t10463="",
n10464="斩妖除魔",d10464="奉张天师之命，前往古魔界斩除玄冰魔虎。",t10464="",
n10465="斩妖除魔",d10465="奉张天师之命，前往古魔界斩除噬冰魔蛟。",t10465="",
n10466="斩妖除魔",d10466="奉张天师之命，前往古魔界斩除骷髅残魔。",t10466="",
n10467="斩妖除魔",d10467="奉张天师之命，前往古魔界斩除赤日魔族。",t10467="",
n10468="斩妖除魔",d10468="奉张天师之命，前往古魔界斩除幽冥魔将。",t10468="",
n10469="诛魔试炼",d10469="前往混沌逐鹿原，击杀天劫魔兵。",t10469="",
n10470="诛魔试炼",d10470="前往混沌逐鹿原，击杀混沌魔灵。",t10470="",
n10471="诛魔试炼",d10471="前往混沌逐鹿原，击杀天邪骷髅。",t10471="",
n10472="诛魔试炼",d10472="前往混沌逐鹿原，击杀梵天邪灵。",t10472="",
n10473="诛魔试炼",d10473="前往混沌逐鹿原，击杀梦魇傀儡。",t10473="",
n10474="诛魔试炼",d10474="前往混沌逐鹿原，击杀炼狱岩魔。",t10474="",
n10475="诛魔试炼",d10475="前往混沌逐鹿原，击杀混沌梦魇。",t10475="",

  }
